OBJECTID_1,OBJECTID,LOCALIDAD,ORGANIZACI,TIPO_DE_OR,NOMBRE_ENT,ESTADO,DIRECCION,Nomenclatu,TELEFONO,CELULAR,BARRIO,EMAIL,ID_DISCIPL,DESCRIPCIO,UPlCodigo,UPlNombre,LocNombre,LocCodigo
"1","1",N.D.,Deportiva,Otros,ALCALDIA MAYOR DE BOGOTA,A,Carrera 8 A 10-65,KR 8 A 10-65,N.D.,N.D.,N.D.,N.D.,"59",No Obra,UPZ33,SOSIEGO,SAN CRISTOBAL,"04"
"2","2",N.D.,Deportiva,Otros,SECRETARIA DE EDUCACION,A,Av. El Dorado A 66A 63,AV El Dorado A 66A 63,N.D.,N.D.,N.D.,N.D.,"59",No Obra,UPZ109,CIUDAD SALITRE ORIENTAL,TEUSAQUILLO,"13"
"3","3",N.D.,Deportiva,Otros,COLDEPORTES,A,Av. 68  A 55-65,AV 68  A 55-65,N.D.,N.D.,N.D.,N.D.,"59",No Obra,UPZ22,DOCE DE OCTUBRE,BARRIOS UNIDOS,"12"
"4","4",N.D.,Deportiva,Otros,SECRETARIA DE CULTURA RECREACION Y DEPORTE,A,Carrera 8 A 9-83,KR 8 A 9-83,N.D.,N.D.,N.D.,N.D.,"59",No Obra,UPZ94,LA CANDELARIA,CANDELARIA,"17"
"5","5",Teusaquillo,Deportiva,Clubes,CLUB SOCIAL Y DEPORTIVO INVIAS,I,Carrera 59 No.26-60 CAN,KR 59  26-60 CAN,"7056000",N.D.,CENTRO ADMINISTRATIVO NACIONAL,N.D.,"59",No Obra,UPZ104,PARQUE SIMON BOLIVAR - CAN,TEUSAQUILLO,"13"
"6","6",Barrios Unidos,Deportiva,Comites,COMITE OLIMPICO COLOMBIANO,A,Av. 68 No. 55-65,AV 68   55-65,"6300093","2147483647",BOSQUE POPULAR,coc@coc.org.co,"56",Multidisciplinas,UPZ22,DOCE DE OCTUBRE,BARRIOS UNIDOS,"12"
"7","7",Barrios Unidos,Deportiva,Ligas,LIGA DE LEVANTAMIENTO DE PESAS DE SANTA FE DE BOGOTA,A,"Av. 68, Calle 63 Esquina E - Unidad Deportiva El Salitre",AV 68  63 - 00 Esquina E - Unidad Deportiva El Salitre,"4093391","2147483647",SAN FERNANDO OCCIDENTAL,ligadepesasbogota@gmail.com,"64",Pesas,UPZ103,PARQUE SALITRE,BARRIOS UNIDOS,"12"
"8","8",N.D.,Deportiva,Otros,CLUB COMITE DEPORTIVO DEL SUR,I,Calle 36 Sur No.23C-26,CL 36 Sur  23C-26,"2788775",N.D.,N.D.,NA,"35",Futbol,UPZ39,QUIROGA,RAFAEL URIBE URIBE,"18"
"9","9",Barrios Unidos,Deportiva,Ligas,LIGA DE ATLETISMO DE SANTA FE DE BOGOTA,A,Av. 68 No. 63-00 - Estadio De Atletismo Unidad Deportiva El Salitre,AV 68   63-00 - Estadio De Atletismo Unidad Deportiva El Salitre,"3110549","2147483647",SAN FERNANDO OCCIDENTAL,atletismobogota@live.com,"6",Atletismo,UPZ103,PARQUE SALITRE,BARRIOS UNIDOS,"12"
"10","10",Teusaquillo,Deportiva,Ligas,LIGA DE FUTBOL DE BOGOTA D C,A,Calle 43 No. 66B-02,CL 43   66B-02,"8051990","2147483647",SALITRE,info@lifutbol.com.co,"35",Futbol,UPZ104,PARQUE SIMON BOLIVAR - CAN,TEUSAQUILLO,"13"
